name,id,year,director,top,rating,num_of_rates
Yôjinbô,tt0055630,1961,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno",114,8.2,82892
Мой отец и мой сын,tt0476735,2005,"Çagan Irmak (dir.), Resit Kurt, Fikret Kuskan",115,8.2,50613
Вверх,tt1049413,2009,"Pete Docter (dir.), Edward Asner, Jordan Nagai",116,8.2,747844
Бэтмен: Начало,tt0372784,2005,"Christopher Nolan (dir.), Christian Bale, Michael Caine",117,8.2,1081209
В джазе только девушки,tt0053291,1959,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis",118,8.2,194316
Сокровища Сьерра-Мадре,tt0040897,1948,"John Huston (dir.), Humphrey Bogart, Walter Huston",119,8.2,88083
Непрощённый,tt0105695,1992,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman",120,8.2,306122
Бункер,tt0363163,2004,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara",121,8.2,273768
Крепкий орешек,tt0095016,1988,"John McTiernan (dir.), Bruce Willis, Alan Rickman",122,8.2,650310
Бешеный бык,tt0081398,1980,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty",123,8.2,258143
Схватка,tt0113277,1995,"Michael Mann (dir.), Al Pacino, Robert De Niro",124,8.2,472636
The Third Man,tt0041959,1949,"Carol Reed (dir.), Orson Welles, Joseph Cotten",125,8.2,126470
Дети небес,tt0118849,1997,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian",126,8.2,38132
The Great Escape,tt0057115,1963,"John Sturges (dir.), Steve McQueen, James Garner",127,8.2,182683
Ikiru,tt0044741,1952,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko",128,8.2,48049
Chinatown,tt0071315,1974,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway",129,8.2,238603
Лабиринт Фавна,tt0457430,2006,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil",130,8.2,514655
Мой сосед Тоторо,tt0096283,1988,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka",131,8.2,201690
Пожары,tt1255953,2010,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin",132,8.2,99519
Ran,tt0089881,1985,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao",133,8.2,86209
The Gold Rush,tt0015864,1925,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain",134,8.2,76514
Judgment at Nuremberg,tt0055031,1961,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster",135,8.2,51146
Тайна в его глазах,tt1305806,2009,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil",136,8.2,150829
Головоломка,tt2096673,2015,"Pete Docter (dir.), Amy Poehler, Bill Hader",137,8.2,444198
On the Waterfront,tt0047296,1954,"Elia Kazan (dir.), Marlon Brando, Karl Malden",138,8.2,112347
Ходячий замок,tt0347149,2004,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura",139,8.2,244207
The Bridge on the River Kwai,tt0050212,1957,"David Lean (dir.), William Holden, Alec Guinness",140,8.2,165214
Комната,tt3170832,2015,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay",141,8.2,245019
Седьмая печать,tt0050976,1957,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand",142,8.2,124694
"Карты, деньги, два ствола",tt0120735,1998,"Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher",143,8.2,452364
Mr. Smith Goes to Washington,tt0031679,1939,"Frank Capra (dir.), James Stewart, Jean Arthur",144,8.2,85153
Бегущий по лезвию,tt0083658,1982,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer",145,8.2,540174
Казино,tt0112641,1995,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone",146,8.2,369698
Игры разума,tt0268978,2001,"Ron Howard (dir.), Russell Crowe, Ed Harris",147,8.2,685806
The Elephant Man,tt0080678,1980,"David Lynch (dir.), Anthony Hopkins, John Hurt",148,8.1,179268
Земляничная поляна,tt0050986,1957,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson",149,8.1,70757
V значит Вендетта,tt0434409,2005,"James McTeigue (dir.), Hugo Weaving, Natalie Portman",150,8.1,871557
Волк с Уолл-стрит,tt0993846,2013,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill",151,8.1,902101
The General,tt0017925,1926,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack",152,8.1,60176
Воин,tt1291584,2011,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte",153,8.1,367107
На игле,tt0117951,1996,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner",154,8.1,533998
Dial M for Murder,tt0046912,1954,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly",155,8.1,120930
Гран Торино,tt1205489,2008,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang",156,8.1,612704
Унесённые ветром,tt0031381,1939,"Victor Fleming (dir.), Clark Gable, Vivien Leigh",157,8.1,236691
Sunrise: A Song of Two Humans,tt0018455,1927,"F.W. Murnau (dir.), George O'Brien, Janet Gaynor",158,8.1,34117
Andrei Rublev,tt0060107,1966,"Andrei Tarkovsky (dir.), Anatoliy Solonitsyn, Ivan Lapikov",159,8.1,28493
Охотник на оленей,tt0077416,1978,"Michael Cimino (dir.), Robert De Niro, Christopher Walken",160,8.1,255787
Фарго,tt0116282,1996,"Joel Coen (dir.), William H. Macy, Frances McDormand",161,8.1,503534
Шестое чувство,tt0167404,1999,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment",162,8.1,770651
Нечто,tt0084787,1982,"John Carpenter (dir.), Kurt Russell, Wilford Brimley",163,8.1,290318
Старикам тут не место,tt0477348,2007,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem",164,8.1,683409
Большой Лебовски,tt0118715,1998,"Joel Coen (dir.), Jeff Bridges, John Goodman",165,8.1,596156
В поисках Немо,tt0266543,2003,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres",166,8.1,776285
Бандит,tt0116231,1996,"Yavuz Turgul (dir.), Sener Sen, Ugur Yücel",167,8.1,43907
Tôkyô monogatari,tt0046438,1953,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama",168,8.1,32935
И будет кровь,tt0469494,2007,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano",169,8.1,414957
Хладнокровный Люк,tt0061512,1967,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy",170,8.1,131192
Idi i smotri,tt0091251,1985,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova",171,8.1,32445
Rebecca,tt0032976,1940,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine",172,8.1,97011
По соображениям совести,tt2119532,2016,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington",173,8.1,271117
Убить Билла,tt0266697,2003,"Quentin Tarantino (dir.), Uma Thurman, David Carradine",174,8.1,811909
Ла-Ла Ленд,tt3783958,2016,"Damien Chazelle (dir.), Ryan Gosling, Emma Stone",175,8.1,317633
Цвет шафрана,tt0405508,2006,"Rakeysh Omprakash Mehra (dir.), Aamir Khan, Soha Ali Khan",176,8.1,84962
Как приручить дракона,tt0892769,2010,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler",177,8.1,541375
La passion de Jeanne d'Arc,tt0019254,1928,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain",178,8.1,30770
Исчезнувшая,tt2267998,2014,"David Fincher (dir.), Ben Affleck, Rosamund Pike",179,8.1,665243
Мэри и Макс,tt0978762,2009,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman",180,8.1,133722
Остров проклятых,tt1130884,2010,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer",181,8.1,889733
В диких условиях,tt0758758,2007,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn",182,8.1,474691
Логан: Росомаха,tt3315342,2017,"James Mangold (dir.), Hugh Jackman, Patrick Stewart",183,8.1,399875
It Happened One Night,tt0025316,1934,"Frank Capra (dir.), Clark Gable, Claudette Colbert",184,8.1,72824
Life of Brian,tt0079470,1979,"Terry Jones (dir.), Graham Chapman, John Cleese",185,8.1,298154
Дикие истории,tt3011894,2014,"Damián Szifron (dir.), Darío Grandinetti, María Marull",186,8.1,119994
Platoon,tt0091763,1986,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger",187,8.1,319112
Среда,tt1280558,2008,"Neeraj Pandey (dir.), Anupam Kher, Naseeruddin Shah",188,8.1,55293
